_file,has_introduction_section,little_template,little_template_justification,intro_presents_main_result,intro_presents_main_result_quote,inverted_pyramid,lit_review_location,lit_review_has_title_literature_review,intro_communicates_prior_update,intro_prior_update_quote,uses_numbered_hypotheses,has_roadmap_paragraph,n_sections,section_titles,_elapsed_s
2025_Incerti_How_Firms_Bureaucrats_and_Ministries_Benefit_from_the_Revo.pdf,True,2_gap_filling,"The introduction is organized around an explicit gap in the political-connections literature: bureaucratic connections and nonprofit destinations are presented as under-studied, and the paper says it ""addresses these gaps"" with comprehensive data. It is not primarily framed as resolving a live scholarly debate or explaining a surprising empirical anomaly.",True,"A bifurcated market exists for former bureaucrats, in which the highest ranking officials are naturally in demand by large, publicly traded corporations. These officials then deliver benefits such as low-interest government loans to their new employers. However, for lower ranking bureaucrats who cannot offer these kinds of benefits to firms, alternate sources of employment exist at nonprofit organizations bolstered by government contracts.",False,distributed,False,clear_what_and_magnitude,"Though these connections are under-examined in the existing literature, I show that roughly half of Japanese bureaucrats are rehired by public corporations or nonprofits, and that these organizations leverage their bureaucratic connections to increase the size of government contracts they receive. In the context of a weak welfare state with relatively low pay for civil servants, the promise of such revolving door positions—regardless of private sector demand—is essential for successful bureaucratic retainment and recruitment.",False,True,8,"['THEORY AND HYPOTHESES', 'CASE SELECTION: AMAKUDARI IN JAPAN', 'DATA', 'IS THERE A BIFURCATED JOB MARKET FOR FORMER CIVIL SERVANTS?', 'DO FIRMS THAT HIRE BUREAUCRATS SECURE MORE GOVERNMENT LOANS?', 'DO INVESTORS REWARD FIRMS FOR BUREAUCRATIC HIRES?', 'DO NONPROFITS WITH BUREAUCRATIC CONNECTIONS RECEIVE MORE LUCRATIVE CONTRACTS?', 'DISCUSSION AND CONCLUSION']",238.9
2025_Ingham_Institutional_Forbearance_as_a_Mechanism_of_Democratic_Stabi.pdf,True,2_gap_filling,"The introduction is built around a conceptual and theoretical gap in the existing forbearance literature, especially the need for a more precise definition and a grounded mechanism linking forbearance to democratic stability. It is not primarily organized around a surprising empirical fact or the resolution of a live empirical debate.",,,False,background_section,False,clear_what_only,"The “seeds-of-doubt” mechanism is what gives actions of uncertain legitimacy their power to corrode democracy’s foundations. By sowing seeds of doubt about citizens’ motivations, the officeholder undermines their future capacity for coordinated responses to abuses of power.",False,False,9,"['INTRODUCTION', 'PRELIMINARIES', 'DEMOCRACY’S SELF-ENFORCEMENT MECHANISM', 'FORBEARANCE RECONSIDERED', 'CONCLUSION', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",242.9
2025_Lyons_Lights_Camera_Inaction_The_Effects_of_Gavel-to-Gavel_Floo.pdf,True,hybrid_2_3,"The introduction is built around competing claims about whether cameras worsen dysfunction or encourage civility, so it primarily frames the paper as adjudicating a debate. It also explicitly identifies a gap in prior work, arguing that existing studies focus on national legislatures and therefore provide limited leverage, which the new state-level dataset is meant to address.",True,"We find, however, limited evidence that adoption of live gavel-to-gavel coverage changes policymaking process and outcomes in state legislatures. State chambers do not become more or less polarized, dysfunctional, or productive.",False,separate_section,False,clear_what_and_magnitude,"We find, however, limited evidence that adoption of live gavel-to-gavel coverage changes policymaking process and outcomes in state legislatures. State chambers do not become more or less polarized, dysfunctional, or productive.",False,False,17,"['EXISTING EVIDENCE ON BEHAVIORAL CHANGES FROM CAMERA INTRODUCTION', 'GAVEL-TO-GAVEL COVERAGE AND LEGISLATOR INCENTIVES', 'WHY FOCUS ON TELEVISED/STREAMED GAVEL-TO-GAVEL COVERAGE?', 'DATA COLLECTION PROCESS', 'CHAMBER- AND LEGISLATOR-LEVEL OUTCOMES', 'ESTIMATION STRATEGY FOR PREDICTING COVERAGE EFFECTS', 'ESTIMATED EFFECTS ON CHAMBER-LEVEL OUTCOMES', 'CHAMBER-LEVEL HETEROGENEOUS TREATMENT EFFECTS AND LAGGED TREATMENT EFFECTS', 'ESTIMATED EFFECTS ON LEGISLATOR OUTCOMES', 'LEGISLATOR-LEVEL HETEROGENEOUS TREATMENT EFFECTS AND LAGGED EFFECTS', 'DISCUSSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",235.3
2025_MYERS_Do_Donors_Punish_Extremist_Primary_Nominees_Evidence_from_C.pdf,True,hybrid_1_3,"The introduction opens with a substantive puzzle about whether donors advantage moderates or extremists, but it quickly centers on conflicting findings in prior research. It positions the paper as resolving that debate with a better design and measurement strategy, so it is best read as a hybrid of puzzle and debate-resolution templates.",True,"Combining the RD design with my primary-specific ideology scaling, I find that the “coin-flip” primary nomination of an extremist over a more moderate opponent decreases their party’s share of general-election contributions by 7 percentage points in the median election in my sample.",False,background_section,False,clear_what_and_magnitude,"Combining the RD design with my primary-specific ideology scaling, I find that the “coin-flip” primary nomination of an extremist over a more moderate opponent decreases their party’s share of general-election contributions by 7 percentage points in the median election in my sample. This financial penalty increases to 18–19 percentage points when the contrast between candidates is most pronounced and is largest in highly-consequential open-seat elections.",False,True,8,"['INTRODUCTION', 'THEORETICAL AND EMPIRICAL PERSPECTIVES ON DONOR SUPPORT FOR MORE MODERATE AND EXTREME CANDIDATES', 'EMPIRICAL STRATEGY', 'EFFECT OF EXTREMIST NOMINEES ON GENERAL-ELECTION CAMPAIGN CONTRIBUTIONS', 'WHICH DONORS PUNISH EXTREMIST PRIMARY NOMINEES?', 'RD ESTIMATES GENERALIZE TO UNIVERSE OF CONTESTED GENERAL ELECTIONS', 'STATE-LEVEL HETEROGENEITY IN THE FINANCIAL PENALTY TO EXTREMIST NOMINEES', 'DISCUSSION AND CONCLUSION']",213.5
2025_Markarian_Race_Responsiveness_and_Representation_in_US_Lawmaking.pdf,True,hybrid_1_2,"The introduction opens with a substantive puzzle about whether U.S. national policymaking is more responsive to white Americans than to people of color, then quickly pivots to a clear literature-and-data gap on national racial responsiveness. The contribution is framed as both answering that puzzle and filling a missing empirical slot in the literature with a new dataset.",True,"When we divide our results by party control, however, we find that who wins and loses depends critically on which party governs. People of color are significantly disadvantaged compared to white Americans when Republicans control national political institutions.",False,separate_section,False,clear_what_and_magnitude,"The differences are large: Black citizens lose on policy 7–9 percentage points more often than white citizens when Republicans control government, while Latinos and Asian Americans lose 4–7 points more often.",False,False,13,"['INTRODUCTION', 'ARE THERE RACIAL DISPARITIES IN RESPONSIVENESS AND REPRESENTATION?', 'DATA AND METHODS', 'FINDINGS: ARE THERE RACIAL DISPARITIES?', 'LEVERAGING CROSS-SECTIONAL VARIATION IN DYADIC REPRESENTATION TO EXPLORE PLACE-BASED SOURCES OF VARIATION', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGMENTS', 'FUNDING STATEMENT', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",307.5
2025_Osorio_Demand_and_Supply_of_Criminal_Governance_Experimental_Evide.pdf,True,hybrid_1_2,The introduction opens with a concrete empirical phenomenon from the COVID-19 period and then pivots to a literature gap: existing work treats criminal governance mainly as top-down and underplays civilian bottom-up demand. It is therefore framed as both a fact-driven puzzle and a gap-filling intervention.,False,,False,integrated_intro,False,clear_what_only,"The central argument claims that the demand for criminal governance arises from the population’s drive to satisfy their basic needs, while the supply of criminal governance derives from criminals trying to prevent disruptions to their illicit activities. On the supply side, criminals typically neglect the population’s economic needs unless resistance capacity threatens their illicit operations.",True,True,14,"['Abstract', 'INTRODUCTION', 'THEORY', 'EXPERIMENTAL DESIGN', 'SURVEY DATA', 'EXTENT OF THE DEMAND AND SUPPLY OF CRIMINAL GOVERNANCE', 'DETERMINANTS OF THE DEMAND AND SUPPLY OF CRIMINAL GOVERNANCE', 'MIXED PORTFOLIOS OF CRIMINAL GOVERNANCE', 'LIMITATIONS', 'CONCLUSIONS', 'DATA AVAILABILITY STATEMENT', 'FUNDING STATEMENT', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS']",194.8
2025_Taboni_The_Path_of_Law_Legal_Uncertainty_and_Issues_of_First_Impre.pdf,True,2_gap_filling,"The introduction frames the paper around a clear gap: the consequences of circuit splits are well studied, but less is known about why they occur. It then positions the article as filling that gap with a new theory, original data, and empirical tests.",True,"I find that, for bias-compatible cases, increased ideological distance leads to an increased probability of a circuit split. For bias-incompatible cases, I find the opposite effect.",False,separate_section,False,clear_what_only,"I find that decisions are not solely determined by judge’s preexisting beliefs. Instead, courts incorporate both public and private information about cases when deciding new legal issues.",False,False,6,"['INTRODUCTION', 'INTERACTIONS AMONG COURTS', 'MODEL', 'ANALYSIS', 'CASES OF FIRST IMPRESSION', 'DISCUSSION AND CONCLUSION']",345.6
2025_Tomz_Race_Democracy_and_Public_Support_for_War.pdf,True,3_debate_resolution,"The introduction is organized around a direct scholarly dispute: earlier work finds a democratic peace in public opinion, while Rathbun, Parker, and Pomeroy argue that the pattern is really driven by race. The paper presents itself as a reanalysis that adjudicates that disagreement by testing and rejecting RPP’s interpretation.",True,"Third, consistent with these null results, we find no evidence that racialized beliefs explain the democratic peace or that accounting for race “erases” the effect of democracy. Rather, voters shrink from attacking democracies even when race is explicitly taken into account.",False,background_section,False,clear_what_and_magnitude,"Although future surveys in the United States and other countries might suggest that democracy affects public support for war by changing perceptions of race, our reexamination of RPP’s data shows that accounting for race does little to change widely accepted conclusions about how regime type influences public attitudes toward war. Thus, RPP’s data strengthen, rather than undermine, existing insights about how the public thinks about international relations.",True,False,14,"['INTRODUCTION', 'THE POTENTIAL ROLE OF RACE IN EXPERIMENTAL RESEARCH ABOUT THE DEMOCRATIC PEACE', 'DOES DEMOCRACY TRIGGER PERCEPTIONS OF WHITENESS?', 'DOES RACE AFFECT SUPPORT FOR WAR?', 'HOW MUCH DOES DEMOCRACY MATTER AFTER EXPERIMENTALLY CONTROLLING RACE?', 'ETHNOCENTRISM AND THE DEMOCRATIC PEACE', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGEMENTS', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES', 'APPENDIX: FORMALIZATION OF RPP’S ARGUMENT']",272.6
2025_Wilfahrt_A_Precolonial_Paradox_Rethinking_Political_Centralization_a.pdf,True,3_debate_resolution,The introduction opens by foregrounding a contradiction in the literature: precolonial centralization is associated with both better development and more civil conflict. The paper then resolves that debate by arguing that different forms of precolonial statehood generate different long-run legacies.,True,"Mapping this typology onto contemporary outcomes allows me to demonstrate that there is no uniform development bonus or propensity for conflict. Where political authority was highly concentrated—in what I call a despotic type—we see higher rates of civil conflict prevalence today relative to stateless areas, by which I mean regions that were either acephalous or ruled by petty chiefdoms in the precolonial period. In contrast, we see less civil conflict where monarchs were obliged to negotiate with the indigenous local elite via indirect rule. Development outcomes tell an altogether different story: what development bonus accrues to areas that were home to precolonial states is dampened—if not inexistent—in despotic polities, suggesting that the relative concentration of political power is harmful to economic development. In contrast, states where power was least concentrated fare better in the present.",True,integrated_intro,False,clear_what_only,"Mapping this typology onto contemporary outcomes allows me to demonstrate that there is no uniform development bonus or propensity for conflict. Where political authority was highly concentrated—in what I call a despotic type—we see higher rates of civil conflict prevalence today relative to stateless areas, by which I mean regions that were either acephalous or ruled by petty chiefdoms in the precolonial period.",False,True,6,"['INTRODUCTION', 'WHAT IS A PRECOLONIAL CENTRALIZATION?', 'THE CHALLENGE OF MEASURING THE HISTORICAL STATEHOOD', 'AN ATLAS OF 19TH C. AFRICAN STATES', 'MAKING PROGRESS ON THE PRECOLONIAL PARADOX', 'CONCLUSION']",240.8
2025_d’Urso_What_Happens_When_You_Cant_Check_the_Box_Categorization_Th.pdf,True,hybrid_1_2,"The introduction is anchored by a fact puzzle: MENA Americans are politically visible yet institutionally invisible because forms usually force them into “White.” It then pivots to a gap-filling move, arguing that prior work on identity denial has not traced the political-opinion consequences of category exclusion.",True,"From these two experiments, I find that when MENA individuals are unable to self-categorize as “MENA,” they experience categorization threat, a form of social identity threat when individuals’ social identities are miscategorized (Barreto et al. 2010; Branscombe et al. 1999; Townsend, Markus, and Bergsieker 2009). In response to categorization threat, MENA individuals respond by asserting their MENA identity within the confines of the survey environment (Cheryan and Monin 2005).",False,distributed,False,clear_what_only,"In response to categorization threat, MENA individuals respond by asserting their MENA identity within the confines of the survey environment (Cheryan and Monin 2005). They express stronger support when answering questions related to MENA identity (such as foreign affairs in the MENA region), and this assertion also seems to extend to issues concerning people of color more generally (Pérez 2021a).",True,False,12,"['INTRODUCTION', 'MENA AMERICAN IDENTITY', 'SELF-CATEGORIZATION THEORY (SCT)', 'STUDIES', 'CONCLUSION', 'SUPPLEMENTARY MATERIAL', 'DATA AVAILABILITY STATEMENT', 'ACKNOWLEDGMENTS', 'FUNDING STATEMENT', 'CONFLICT OF INTEREST', 'ETHICAL STANDARDS', 'REFERENCES']",230.0
